Full Text of Notice,Notice Date,Publication Name,Location Name,Street Address,City,State,Zip Code,Auction Sites,Count of Tenants
"NOTICE OF PUBLIC SALE: 

Self-storage cube contents of the following customers containing household and
other goods will be sold for cash by CubeSmart Management, LLC 7600 Arlington
Ave Riverside CA 92503 to satisfy a lien on March 20th 2025 at approx. 1:30pm at 
www.storagetreasures.com [http://www.storagetreasures.com]: Gloria Raquel
Alvarez Avila, Andrea Renee Colbert, Brandon Samuel, Stacey Jennings, Byron May,
Gretta Urista, Alonzo Scott, brandon Roberts, Blake Jackson, Ricardo Alvarado,
Sergio G Cuevas, Christopher Bell, Manuel Niebla, Keionna L Winbush, Charles
Isaac Clayton, Cindy Kovacs, John Marti, duke alloh, Tonia Gallagher, Karma
Backrak

The CalifornianPublished: 2/28/25",2025-02-28,SDUT - The Californian,N/A,"7600 Arlington
Ave Riverside CA 92503 to satisfy a lien on March 20th 2025 at approx. 1",Arlington Ave Riverside,CA,92503,[],0
N/A,2025-02-28,SDUT - The Californian,N/A,,,,,[],0
"NOTICE OF PUBLIC SALE: 

Self-storage cube contents of the following customers containing household and
other goods will be sold for cash by CubeSmart Management, LLC 7600 Arlington
Ave Riverside CA 92503 to satisfy a lien on March 20th 2025 at approx. 1:30pm at 
www.storagetreasures.com [http://www.storagetreasures.com]: Gloria Raquel
Alvarez Avila, Andrea Renee Colbert, Brandon Samuel, Stacey Jennings, Byron May,
Gretta Urista, Alonzo Scott, brandon Roberts, Blake Jackson, Ricardo Alvarado,
Sergio G Cuevas, Christopher Bell, Manuel Niebla, Keionna L Winbush, Charles
Isaac Clayton, Cindy Kovacs, John Marti, duke alloh, Tonia Gallagher, Karma
Backrak

The CalifornianPublished: 2/28/25",2025-02-28,Brentwood Press,N/A,"7600 Arlington
Ave Riverside CA 92503 to satisfy a lien on March 20th 2025 at approx. 1",Arlington Ave Riverside,CA,92503,[],0
N/A,2025-02-28,SDUT - The Californian,N/A,,,,,[],0
"NOTICE OF PUBLIC SALE: Self-storage Cube contents of the following customers
containing household and other goods will be sold for cash by CubeSmart
Management, LLC 24335 Monroe Avenue Murrieta CA 92562 to satisfy a lien on March
19, 2025 at approx. 1:30 PM at www.storagetreasures.com
[http://www.storagetreasures.com]: Annette Gonzales, Katherine Sparks, Cecelia
Velasco, Kenneth Myers, William Calvo, Victoria Szwabowski, Breanna Harris,
Jeremy Kelley

The CalifornianPublished: 2/28/25",2025-02-28,SDUT - The Californian,N/A,"24335 Monroe Avenue Murrieta CA 92562 to satisfy a lien on March
19, 2025 at approx. 1",Monroe Avenue Murrieta,CA,92562,[],0
N/A,2025-02-28,SDUT - The Californian,N/A,,,,,[],0
"NOTICE OF PUBLIC SALE: Self-storage Cube contents of the following customers
containing household and other goods will be sold for cash by CubeSmart
Management, LLC 40410 California Oaks RD Murrieta, CA 92562 to satisfy a lien on
March 19, 2025 at approximately 1:30PM at www.storagetreasures.com
[http://www.storagetreasures.com]: Ivan Lopez, Michelle Launier, Donovan Lucas,
Rose Goodman, Syrita Kinney, Timothy Kiehl

The CalifornianPublished: 2/28/25",2025-02-28,SDUT - The Californian,N/A,,California Oaks RD Murrieta ,CA,92562,[],0
N/A,2025-02-28,SDUT - The Californian,N/A,,,,,[],0
"NOTICE OF PUBLIC SALE: Self-storage Cube contents of the following customers
containing household and other goods will be sold for cash by CubeSmart
Management, LLC 1680 W Redlands Blvd Redlands, CA 92373 to satisfy a lien on
March 20, 2025 at approx. 1:30 PM at www.storagetreasures.com: Christina Audelo,
Phillip P Conarroe, Penelope Allen, Brianna Blair, Mya Roberts, Robert L
Hoffmaster

Redlands Daily FactsPublished: 2/28/25",2025-02-28,Redlands Daily Facts,N/A,"1680 W Redlands Blvd Redlands, CA 92373 to satisfy a lien on
March 20, 2025 at approx. 1",W Redlands Blvd Redlands ,CA,92373,[],0
N/A,2025-02-28,Press-Enterprise,N/A,,,,,[],0
